                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5521,                 2.2898,                 1.4333,                 0.2324,                 0.4542,                0.26999,                 0.1664,                 1.2691,                 4.0888,                 1.3339,               0.067393,             0.00032937,             0.00032937
                      1,                  1.437,                 1.4883,                 1.4468,                0.73892,                 0.6805,                0.74038,                0.43998,                 1.4091,                 1.5038,                 1.4524,               0.067393,             0.00032937,             0.00032937
                      2,                 1.3966,                 1.2654,                 1.3822,                0.83585,                 0.7418,                0.84925,                0.52288,                 1.3425,                 1.2061,                 1.3827,               0.034327,             0.00059709,             0.00059709
                      3,                 1.3724,                 1.2057,                 1.3905,                0.87926,                0.77332,                0.87049,                0.54702,                 1.2803,                 1.1925,                 1.3797,              0.0011956,             0.00079882,             0.00079882
                      4,                 1.3099,                 1.0869,                  1.345,                0.83823,                0.77679,                0.87135,                0.54872,                 1.2981,                  1.041,                 1.3607,               0.000703,               0.000703,               0.000703
                      5,                 1.2859,                 1.0108,                 1.2996,                0.89541,                0.80462,                0.90966,                0.52741,                 1.3775,                0.99221,                 1.3939,               0.000604,               0.000604,               0.000604
                      6,                 1.2533,                 0.9651,                 1.2976,                0.92451,                 0.8931,                0.93686,                0.57748,                 1.2636,                0.91222,                 1.3334,               0.000505,               0.000505,               0.000505
                      7,                 1.2286,                0.90011,                 1.2798,                0.94799,                0.85923,                0.95135,                0.60485,                  1.254,                 0.8341,                 1.3171,               0.000406,               0.000406,               0.000406
                      8,                 1.1974,                0.84589,                 1.2407,                0.90414,                0.91385,                0.94631,                0.61929,                 1.2244,                  0.807,                 1.2995,               0.000307,               0.000307,               0.000307
                      9,                 1.1748,                0.82507,                 1.2435,                0.95793,                0.87807,                0.95166,                 0.6138,                 1.2268,                0.78758,                 1.2889,               0.000208,               0.000208,               0.000208
                     10,                 1.1523,                0.79532,                 1.2196,                0.93951,                0.90444,                0.95716,                0.61969,                 1.2099,                0.75515,                 1.2765,               0.000109,               0.000109,               0.000109
